penalty_to_export_value_ratio,control_id,pair_count,delivery_improvement_vs_no_feedback_kw,positive_part_loss_reduction_kw,externality_share_reduction_percentage_points,idle_award_reduction_kw,mean_request_attenuation_kw,mean_redistribution_change_kw,mean_normalized_jain_change_from_reference,gate_interval_share
0.0,DELIVERY_RATIO_CF_BETA_050,90,15.197212526673436,13.572496054673431,20.555555555555554,13.620755738205505,24.08322059502325,-19.425319951991863,-0.012060538755473811,0.0
0.0,EXTERNALITY_CF_BETA_025,90,18.861374939475755,16.13408626848576,25.13888888888889,17.97192229339447,39.79893705133948,-24.295806220380772,-0.006758719176033999,0.9902777777777778
0.0,EXTERNALITY_CF_BETA_050,90,24.924606647625563,16.7781211087689,29.02777777777778,25.500276282887942,57.36209949062344,-16.413470726223643,-0.004541741829148737,0.9902777777777778
0.0,EXTERNALITY_CF_BETA_100,90,-1.6621136867407151,-11.352573137085486,15.555555555555555,11.197237299972034,111.21130124999995,21.814519291416367,-0.011962362767694436,1.0
0.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,90,0.08864682705528686,-0.30399793686787957,-4.861111111111112,8.257815924109446,57.36209949062344,2.6585598074777534,-0.013933203602491085,0.0
1.0,DELIVERY_RATIO_CF_BETA_050,90,0.9482768226413569,0.4996012915437383,1.1111111111111112,0.725754433222261,2.0410018903407905,-0.7996040120899565,-0.002000575761901835,0.0
1.0,EXTERNALITY_CF_BETA_025,90,1.8445822042830329,-0.3037539091628679,5.555555555555555,2.4074985368813175,11.091647838771294,1.2621057360471497,-0.00023261989445770624,0.9888888888888889
1.0,EXTERNALITY_CF_BETA_050,90,7.724076192992638,-0.6443559330816486,6.666666666666667,10.13560779415548,30.811520608005512,10.896013907245498,0.002192275526398607,0.9958333333333333
1.0,EXTERNALITY_CF_BETA_100,90,-12.387526867686848,-25.304096459387278,3.3333333333333335,1.5870589848004868,94.77635999999995,50.609505118083675,0.0004389359009829233,1.0
1.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,90,-1.3012911212183653,-3.1804715981263882,-4.444444444444445,3.0113361692147973,30.8115206080055,7.933812098850078,0.0020166291354857644,0.0
10.0,DELIVERY_RATIO_CF_BETA_050,90,0.30141686543057766,0.005894974907292748,0.0,0.2521642605569624,0.42375218039745777,0.30406273786865007,0.0011670656080580023,0.0
10.0,EXTERNALITY_CF_BETA_025,90,0.9249539332558501,-1.3447586212403846,-0.4166666666666667,1.8099379293338411,8.218180932256399,5.69620674393219,0.0023347756988816378,1.0
10.0,EXTERNALITY_CF_BETA_050,90,7.080401439917957,-1.7876537538774908,-1.25,9.676404677777645,25.80540049358372,18.564278386847327,0.00476447426675563,1.0
10.0,EXTERNALITY_CF_BETA_100,90,-11.198972926809649,-25.51630049210545,-0.6944444444444444,2.2793276086971272,88.60739999999998,61.0510570779425,0.003233600012048305,1.0
10.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,90,-1.1416282934993867,-3.447983400932931,0.0,2.6195772403101047,25.805400493583676,8.51166552400516,0.005160701182926552,0.0
