scope,value,step_count,lower_quartile_ratio,median_ratio,upper_quartile_ratio,fifth_percentile_ratio,ninety_fifth_percentile_ratio,mean_idle_award_increment_kw,mean_outside_delivery_decrement_kw
overall,all,4608,1.102448476788901,2.2871052788697983,5.7180387890022795,0.5316827683747211,45.02630526574183,2.3271153192641325,5.442789479160719
method_id,equal_kw_reduction,940,0.8790521048691851,1.7213072764519974,4.701743508458778,0.39934147486833194,31.225523559909842,2.7232087195420025,3.652473360581986
method_id,fairness_qp,1550,1.2960152173301742,1.9975012682150912,5.571873929669412,0.6761069791008036,30.132340042354247,1.7286782651533699,2.504392686851202
method_id,flat_level,338,4.750568872327119,5.368234272779127,13.028229320368286,4.342743106789457,33.76263690834614,1.8604092056395183,11.92840233475571
method_id,max_export_lp,486,0.7558683925974522,0.9183547172211373,3.4391524694457387,0.4035712063654836,17.048604301316495,3.187409649552604,2.1498851391986675
method_id,weighted_proportional,1294,1.321384181069366,2.494313987741527,7.58701626237477,0.5316827682790204,286.92048554428163,2.5550081009452805,9.805715710670931
q_mode,Q0,2317,1.1040927147668633,2.289992096897119,5.71803878901616,0.5316827683260583,45.026072923330545,2.3140584137538496,5.412251611028558
q_mode,Q95,2291,1.102448476750984,2.276702871774628,5.718038787224295,0.5316827683800147,45.42196889654515,2.340320404409189,5.473673914107127
forecast_cv,0.0,126,1.9738254266172215,4.5513799277666,10.270146578883303,1.3720442129801818,31.2389576716298,1.2962299786118163,4.497505341183675
forecast_cv,0.05,629,1.444544942498691,2.5940831883550652,8.528060607410781,0.5329470434028417,68.89125781124619,2.5805665840785483,4.768798192270414
forecast_cv,0.1,999,1.337662459845141,2.3748249258059584,7.044058206393121,0.544787234590469,32.770568631161,2.6630083540579537,4.486022847351028
forecast_cv,0.2,1444,0.9828428202728386,1.99757774624464,4.858073495191085,0.4841557983529142,47.90816785425977,2.403334409972224,6.182658967731488
forecast_cv,0.3,1410,1.0114115196767128,2.065922961615829,5.0844357764941295,0.5746782358799529,37.29462231376401,1.990131772180737,5.748097737686111
