trajectory_id,scenario_id,spatial_pattern,coalition_size,profile_id,forecast_cv,penalty_to_export_value_ratio,control_id,control_role,beta,q_mode,method_id,interval_count,mean_selected_gamma,externality_interval_share,productive_high_request_interval_share,mean_private_utility_gain_mw_equivalent,mean_coalition_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_coalition_idle_award_mw,mean_reported_total_idle_award_mw,mean_request_attenuation_mw,mean_redistribution_mw,mean_jain_norm_change,terminal_mean_score,externality_gate_interval_share,replay_attempt_rate,replay_valid_rate,mean_replay_outsider_allocation_gain_mw,mean_replay_outsider_delivery_gain_mw,mean_replay_total_delivery_gain_mw,mean_replay_redistribution_mw,solver_pass_rate,ac_numerical_pass_rate,matched_q_pair_pass_rate,maximum_loading_ratio,minimum_voltage_pu,maximum_mva_excess,unique_request_solve_count,trajectory_hash
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::equal_kw_reduction,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_100,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,1.0,Q0,equal_kw_reduction,16,1.5,0.25,0.125,0.0035833682783100464,0.0035833682783100464,0.025423305703844146,-0.021839937425534084,0.02249371750197844,0.0078020361607875535,0.07492135982156442,0.09253439999999999,0.05998173806000759,0.0028810308056315473,0.91,1.0,1.0,1.0,0.041826096228385005,0.041613128218928964,0.029030097601496663,0.06466524333369086,1.0,1.0,1.0,0.9090909154346974,0.9572913497494948,0.0,121,63C0FA5F294F0962DEB89D00BDB5904705F97F73567407FAC39C8B079C552537
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::equal_kw_reduction,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,EQUAL_ATTENUATION_UNIFORM_CONTROL,,Q0,equal_kw_reduction,16,1.5,0.4375,0.25,0.008264096809168422,0.008264096809168422,0.020413519611858777,-0.012149422802690393,0.013166385811735917,0.013598389700845016,0.08935783169081338,0.05354644353675836,0.02870081733424597,0.0022617111610891694,0.7281671717745144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909185656196,0.9577174714215131,0.0,121,6A2D12BA67F661D8642E3C818507C76DEE88CC215E1B3E359CDA40F8CCBC651A
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::flat_level,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,NO_FEEDBACK,PENALTY_ONLY_BEHAVIORAL_REQUEST,0.0,Q0,flat_level,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041655670009937265,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090908983503695,0.955563065083861,0.0,99,569FA60A03A9338500F5175270985CEC777F23D3E698BB78F4EEBD9F8325A646
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::flat_level,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,DELIVERY_RATIO_CF_BETA_050,DELIVERY_ONLY_RATIO_FILTER_ABLATION,0.5,Q0,flat_level,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041655670009937265,0.0,0.0,0.0,0.9577107706670122,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090908983503695,0.955563065083861,0.0,99,F3AD3D0408FBC9D518A41A4582988AE4928EA92A453D4BE804C559DAD6450D49
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::flat_level,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_025,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.25,Q0,flat_level,16,1.0,0.0,0.6875,0.0008937221682691083,0.0008937221682691083,-0.009789759578557695,0.01068348174682679,0.0,9.19759554959868e-05,0.04173547696774562,0.003245337872314513,0.008418129380393751,0.0036638876602675605,0.9087959330785087,1.0,1.0,1.0,0.1318563606565887,0.12382005286673489,0.12382005286673489,0.08679591881216717,1.0,1.0,1.0,0.909090910178479,0.955563065083861,0.0,99,402ADD590AEFDDF9DBD25DF795FCFE5093B8DBD407B4841D3E725744860F947D
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::flat_level,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_050,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.5,Q0,flat_level,16,1.0,0.0,0.875,0.004310718533263225,0.004310718533263225,-0.052635488669057096,0.0569462072023203,0.0,0.0005573670673267445,0.03492026882476074,0.025905067437744234,0.04168907423955451,0.014266891354218068,0.8947551472981771,1.0,1.0,1.0,0.09525251649697548,0.09064679797637887,0.09064679797637887,0.06508639266086812,1.0,1.0,1.0,0.9090909168014809,0.955563065083861,0.0,99,3BA567364F3ABA0E48C26BAD92293B13CF561F884C7873F04F33560AA61475B8
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::flat_level,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_100,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,1.0,Q0,flat_level,16,1.0,0.0,0.8125,0.004989912791890171,0.004989912791890171,-0.05730225638942377,0.06229216918131392,0.0,0.0002646538211842453,0.035743688272810985,0.04699012500000008,0.05398850005205324,0.010986693501885428,0.91,1.0,1.0,1.0,0.10381050568490481,0.10251076517687545,0.10251076517687546,0.0697770969788579,1.0,1.0,1.0,0.9090909099992223,0.955563065083861,0.0,99,56EF5DBC7BB8FD9C0A6CDF1DE3C4A826AA30612DDAD4F2A3ED8B1A252A2B1CC5
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::flat_level,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,EQUAL_ATTENUATION_UNIFORM_CONTROL,,Q0,flat_level,16,1.0,0.0,0.875,0.0018503272958462188,0.0018503272958462188,-0.018828451360923447,0.02067877865676966,0.0,0.00017030859515299035,0.04252482941215771,0.025905067437744234,0.017514933444493872,0.007769345205550046,0.7233141657442099,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909124701023,0.955563065083861,0.0,99,EBDD0F64A723E3B1DC0781979265BEC4D25F295B32ADEA0F02FD0BC7C6424638
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::max_export_lp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,NO_FEEDBACK,PENALTY_ONLY_BEHAVIORAL_REQUEST,0.0,Q0,max_export_lp,16,1.4,0.1875,0.125,0.005120718749996601,0.005120718749996601,0.015546936913699958,-0.010426218163703357,0.010939011482644964,0.01897678124994638,0.12412558185343421,0.0,0.020933549711822045,-0.015997386481605536,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909037344389,0.9581685892156112,0.0,118,0D71DEF53D5B3455C6A4D47E095E1FB13FC541553243015D9C78FA79EE722A3C
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::max_export_lp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,DELIVERY_RATIO_CF_BETA_050,DELIVERY_ONLY_RATIO_FILTER_ABLATION,0.5,Q0,max_export_lp,16,1.4,0.0625,0.25,0.0046068919856183735,0.0046068919856183735,0.0062791387917988375,-0.001672246806180458,0.002977506837942956,0.006489902829839446,0.1123988728178776,0.013000705184530698,0.009726447358682867,-0.00636687887322307,0.9476823199897727,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909149311179,0.9579837050028466,0.0,118,E81606146DF4B5F20E0187E0049C298C96697F8A3D8E1735F100010250B08435
