penalty_to_export_value_ratio,control_id,trajectory_count,interval_count,mean_selected_gamma,externality_interval_share,productive_high_request_interval_share,mean_private_utility_gain_mw_equivalent,mean_coalition_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_coalition_idle_award_mw,mean_reported_total_idle_award_mw,mean_request_attenuation_mw,mean_redistribution_mw,mean_jain_norm_change,terminal_mean_score,solver_pass_rate,ac_numerical_pass_rate,matched_q_pair_pass_rate,maximum_loading_ratio,minimum_voltage_pu,maximum_mva_excess,externality_gate_interval_share,replay_attempt_rate,replay_valid_rate,mean_replay_outsider_allocation_gain_mw,mean_replay_outsider_delivery_gain_mw,mean_replay_total_delivery_gain_mw,mean_replay_redistribution_mw
0.0,NO_FEEDBACK,90,1440,1.5133333333333332,0.5013888888888889,0.15,0.01594798307877485,0.01594798307877485,0.03764672807634189,-0.021698744997567045,0.02285510571892239,0.029738434474094393,0.0937808995148377,0.0,0.04915308805935875,-0.024963619047919217,1.0,1.0,1.0,1.0,0.9090909154323236,0.9539511012365637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,DELIVERY_RATIO_CF_BETA_050,90,1440,1.5133333333333332,0.29583333333333334,0.375,0.014887717081909167,0.014887717081909167,0.021389249552802737,-0.006501532470893573,0.009282609664248967,0.013095161090222024,0.08016014377663218,0.024083220595023297,0.029727768107366895,-0.012060538755473858,0.9596712928946276,1.0,1.0,1.0,0.909090929647308,0.9539511012365637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,EXTERNALITY_CF_BETA_025,90,1440,1.5133333333333332,0.25,0.4375,0.012035253111279738,0.012035253111279738,0.01487262316937099,-0.0028373700580912524,0.0067210194504366385,0.008663339954940608,0.07580897722144322,0.03979893705133952,0.02485728183897799,-0.0067587191760340535,0.8954001915781689,1.0,1.0,1.0,0.9090909262275535,0.9539511012365637,0.0,0.9902777777777778,1.0,1.0,0.0754189443263122,0.0712603494041166,0.05345674664062489,0.08451576215562356
0.0,EXTERNALITY_CF_BETA_050,90,1440,1.5133333333333332,0.2111111111111111,0.5069444444444444,0.012665329277565076,0.012665329277565076,0.009439467627506498,0.003225861650058578,0.006076984610153496,0.007495866099312429,0.06828062323194974,0.05736209949062349,0.032739617333135115,-0.004541741829148765,0.8974811593514902,1.0,1.0,1.0,0.9090909280052324,0.9539511012365637,0.0,0.9902777777777778,1.0,1.0,0.06812565930627001,0.06486988570250354,0.04886666800816311,0.0762047501162801
0.0,EXTERNALITY_CF_BETA_100,90,1440,1.5133333333333332,0.3458333333333333,0.2513888888888889,0.009560560342355933,0.009560560342355933,0.032921419026663686,-0.023360858684307744,0.03420767885600788,0.017084177901308825,0.08258366221486567,0.11121130125000002,0.07096760735077513,-0.011962362767694466,0.8992592592592593,1.0,1.0,1.0,0.9090909254014354,0.9539511012365637,0.0,1.0,1.0,1.0,0.07970059925843252,0.07631315323930474,0.06732446035470312,0.0856364771789499
0.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,90,1440,1.5133333333333332,0.55,0.17777777777777778,0.017017024992235594,0.01701702499223559,0.03862712316274736,-0.021610098170511762,0.02315910365579028,0.026545343223495537,0.08552308359072823,0.057362099490623486,0.051811647866836515,-0.013933203602491121,0.7508582684026711,1.0,1.0,1.0,0.9090909260854669,0.9539511012365637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,NO_FEEDBACK,90,1440,1.1426666666666667,0.15555555555555556,0.33055555555555555,0.004371670758552065,0.008677619116524335,0.009356744116941021,-0.0006791250004166882,0.0020409079132463616,0.0043059483579722686,0.07397908361063839,0.0,0.01304000141283622,-0.0025159498700991286,1.0,1.0,1.0,1.0,0.9090909204315043,0.9543941331679278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,DELIVERY_RATIO_CF_BETA_050,90,1440,1.1426666666666667,0.14444444444444443,0.4048611111111111,0.005020168423168871,0.008484853775949444,0.008215701953724775,0.0002691518222246685,0.0015413066217026255,0.0034646853527805733,0.07325332917741612,0.0020410018903408355,0.012240397400746263,-0.002000575761901862,0.9607883350743905,1.0,1.0,1.0,0.9090909227606523,0.9543941331679278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,EXTERNALITY_CF_BETA_025,90,1440,1.1426666666666667,0.1,0.45902777777777776,0.004878965121726662,0.007541591893389102,0.006376134689522759,0.0011654572038663435,0.0023446618224092397,0.002662626771662439,0.07157158507375706,0.011091647838771332,0.014302107148883376,-0.0002326198944577124,0.8951002372583133,1.0,1.0,1.0,0.9090909237823638,0.9543941331679278,0.0,0.9888888888888889,1.0,1.0,0.06978901050329893,0.0666941063077633,0.049792038854112625,0.07913133151535334
1.0,EXTERNALITY_CF_BETA_050,90,1440,1.1426666666666667,0.08888888888888889,0.525,0.006369027794723113,0.00765707044689065,0.0006121192543146979,0.007044951192575952,0.0026852638463280122,0.0012880426521675353,0.0638434758164829,0.030811520608005554,0.023936015320081723,0.00219227552639861,0.8951617804633247,1.0,1.0,1.0,0.9090909281114762,0.9543941331679278,0.0,0.9958333333333333,1.0,1.0,0.06292133725657754,0.06058443799047937,0.04542047852857594,0.07096438626748194
