dimension,value,pair_count,primary_delivery_improvement_vs_no_feedback_kw,primary_advantage_over_delivery_only_kw,primary_advantage_over_uniform_kw,externality_share_reduction_percentage_points,gate_interval_share
method_id,equal_kw_reduction,18,16.499892998395765,2.9614499936752114,22.17671788500411,41.66666666666667,1.0
method_id,fairness_qp,18,8.876510383021115,0.4628671872379224,14.150532171388223,34.72222222222222,0.9930555555555556
method_id,flat_level,18,67.53967995275423,39.225548644204,50.832856567553264,-1.3888888888888888,1.0
method_id,max_export_lp,18,22.020342380461678,3.6653814535224947,27.333084956182756,31.944444444444443,1.0
method_id,weighted_proportional,18,9.686607523495024,2.3217233261210053,9.686607522723017,38.19444444444444,0.9583333333333334
profile_id,CLUSTERED_SHORTFALL,30,35.267851744958136,19.065060017243496,34.420835443338575,38.333333333333336,0.9833333333333333
profile_id,INTERMITTENT_SHORTFALL,30,12.205307056486422,-0.05243978520382681,12.641659741729383,13.750000000000002,0.9958333333333333
profile_id,SHOCK_AND_RECOVERY,30,27.300661141432133,10.169562130816711,27.445384276642873,35.0,0.9916666666666667
scenario_id,DF_SINGLE_P021,30,11.181988057008946,7.048161107539876,12.470598897809381,21.25,1.0
scenario_id,MR_K05_DISPERSED,30,28.606774094545155,9.540865014620424,27.45254052893309,32.083333333333336,0.9875
scenario_id,MR_K05_LOCAL,30,34.98505779132258,12.593156240696079,34.58474003496835,33.75,0.9833333333333333
q_mode,Q0,45,24.924607216020117,9.727394363004935,24.83498827153671,29.02777777777778,0.9902777777777778
q_mode,Q95,45,24.924606079230994,9.727393878899317,24.836931369603846,29.02777777777778,0.9902777777777778
