interval,control_id,changed_participant_count,changed_raw_request_kw,changed_effective_request_kw,changed_allocation_kw,changed_capability_kw,changed_delivery_kw,feeder_delivery_kw,feeder_delivery_change_kw,idle_authorization_kw,request_attenuation_kw,mean_changed_ceiling_before_ratio,mean_changed_ceiling_after_ratio,replay_gate_triggered,replay_outsider_access_release_kw,replay_outsider_delivery_recovery_kw,replay_feeder_delivery_recovery_kw
12,DELIVERY_RATIO_CF_BETA_050,5,479.299275,320.583534133,263.010358283,269.892,256.048134935,1452.29065709,-8.29294817288,30.5201633917,55.3374658671,0.710138063362,0.729257955033,False,0,0,0
13,DELIVERY_RATIO_CF_BETA_050,5,479.299275,343.020973563,279.863881773,264.1086,250.784265723,1458.4899086,-17.1222309532,34.4369032683,32.9000264368,0.729257955033,0.699286037829,False,0,0,0
14,DELIVERY_RATIO_CF_BETA_050,5,479.299275,338.838370414,278.907368589,307.4841,277.640838771,1477.64574066,4.68200059554,25.1013834483,37.0826295861,0.699286037829,0.727431579504,False,0,0,0
15,DELIVERY_RATIO_CF_BETA_050,5,479.299275,356.428738817,290.959063216,282.4227,278.195057345,1479.37132604,-1.01413395539,25.3016459622,19.4922611829,0.727431579504,0.709476839852,False,0,0,0
16,DELIVERY_RATIO_CF_BETA_050,5,479.299275,357.784816343,293.574251718,293.0256,282.783410148,1470.93377996,11.563200371,42.621872059,18.136183657,0.709476839852,0.737580915178,False,0,0,0
1,EXTERNALITY_CF_BETA_050,5,479.299275,375.921,301.352433808,309.89385,290.931559645,1462.71233247,1.55869290954,30.5276119815,0,0.78431372549,0.694117647059,True,120.744002955,119.871549498,70.0385322326
2,EXTERNALITY_CF_BETA_050,5,479.299275,352.546425,291.438689926,296.39925,279.550515303,1462.29963749,17.233892023,55.5853050989,26.587575,0.694117647059,0.707843137255,True,66.9935078874,61.27583733,21.0008609863
3,EXTERNALITY_CF_BETA_050,5,479.299275,344.9557125,288.277527162,301.21875,285.077579287,1468.89544926,8.117823727,26.9994288469,72.7342875,0.707843137255,0.675490196078,True,78.1995918776,78.1995918776,45.5658428419
4,EXTERNALITY_CF_BETA_050,5,479.299275,334.33273125,281.160869069,279.531,265.047029374,1483.70189156,15.4726678844,26.8728322837,66.48901875,0.675490196078,0.655392156863,True,60.0140589719,60.0140589719,26.9633649819
5,EXTERNALITY_CF_BETA_050,5,479.299275,318.980615625,267.446436547,314.2314,267.193431113,1474.41688573,9.22410208976,26.6724357518,72.402946875,0.655392156863,0.688480392157,True,63.2804214002,63.2804214002,27.4335522437
6,EXTERNALITY_CF_BETA_050,5,479.299275,337.811807813,284.201645589,258.80715,256.096276723,1473.03508647,-3.0023473446,38.848063181,65.6606671875,0.688480392157,0.642279411765,True,68.3742886907,68.3742886907,26.0503156044
7,EXTERNALITY_CF_BETA_050,5,479.299275,300.237278906,253.491151529,283.7079,253.491151529,1447.49521458,6.34327519458,49.2468066565,89.9815710938,0.642279411765,0.713296568627,True,60.1223986777,54.2360856394,12.7666113295
8,EXTERNALITY_CF_BETA_050,5,479.299275,338.079139453,283.154038462,275.6754,271.133416696,1452.99252663,-13.9429625869,32.7901451364,88.7478292969,0.713296568627,0.678216911765,True,77.5541953406,75.9540830052,27.5708641833
9,EXTERNALITY_CF_BETA_050,5,479.299275,319.247319727,269.71154031,254.63025,245.133224172,1417.57438021,0.890129684848,87.8937909895,80.7711802734,0.678216911765,0.731265318627,False,51.7793615053,50.4438388397,-15.4395552044
10,EXTERNALITY_CF_BETA_050,5,479.299275,347.584159863,283.439667685,267.48225,253.326480911,1427.23326705,-10.9955437869,68.6395628818,28.3368401367,0.731265318627,0.687201286765,True,86.6919345177,86.1175558833,26.2128905182
11,EXTERNALITY_CF_BETA_050,5,479.299275,318.377079932,266.537686441,233.74575,226.00627101,1411.04795255,1.10945168618,79.5886020778,82.1836138184,0.687201286765,0.641639859069,True,62.860193379,62.1499377783,12.2196076649
12,EXTERNALITY_CF_BETA_050,5,479.299275,281.684164966,239.513831567,269.892,238.774379893,1430.67321829,-29.9103869683,26.2489043926,149.299622534,0.641639859069,0.661996400123,True,70.6883254196,70.6883254196,45.9343389667
