cell_count,endogenous_externality_cell_share,forecast_cv,inflated_request_cell_share,mean_incremental_own_idle_award_mw,mean_outside_delivery_loss_mw,mean_own_delivery_gain_mw,mean_private_utility_gain_mw_equivalent,mean_selected_gamma,mean_system_delivery_loss_mw,mean_total_delivery_change_mw,penalty_to_export_value_ratio,productive_high_request_cell_share,strict_private_gain_cell_share,externality_cell_percent,productive_high_request_percent,reference_or_other_percent,mean_own_delivery_gain_kw,mean_outside_delivery_loss_kw,mean_signed_feeder_delivery_change_kw
300,0.333333333333,0,0.666666666667,0.00100443575405,0.00575040778805,0.00393962637548,0.00393962637548,1.20333333333,0.00223371167662,-0.00181078141257,0,0.29,0.666666666667,33.3333333333,29,37.6666666667,3.93962637548,5.75040778805,-1.81078141257
300,0.333333333333,0,0.666666666667,0.00100443575405,0.00575040778805,0.00393962637548,0.00388940458778,1.20333333333,0.00223371167662,-0.00181078141257,0.05,0.29,0.666666666667,33.3333333333,29,37.6666666667,3.93962637548,5.75040778805,-1.81078141257
300,0.32,0,0.666666666667,0.000991577419735,0.00571624331078,0.00393860620867,0.00383944846669,1.202,0.00220056736616,-0.00177763710211,0.1,0.29,0.666666666667,32,29,39,3.93860620867,5.71624331078,-1.77763710211
300,0.246666666667,0,0.666666666667,0.000865788761683,0.00546703990874,0.0039130135487,0.00369656635828,1.19466666667,0.00197837397642,-0.00155402636004,0.25,0.296666666667,0.666666666667,24.6666666667,29.6666666667,45.6666666667,3.9130135487,5.46703990874,-1.55402636004
300,0.226666666667,0,0.666666666667,0.000811208712113,0.00537288710425,0.00389508691847,0.00348948256241,1.19266666667,0.00191808811892,-0.00147780018578,0.5,0.303333333333,0.666666666667,22.6666666667,30.3333333333,47,3.89508691847,5.37288710425,-1.47780018578
300,0.2,0,0.64,0.000431411705451,0.00501441037861,0.00364235188349,0.00321094017804,1.18333333333,0.0018693733016,-0.00137205849512,1,0.276666666667,0.64,20,27.6666666667,52.3333333333,3.64235188349,5.01441037861,-1.37205849512
300,0.14,0,0.633333333333,0.000302010280594,0.00469801320378,0.00350191570745,0.00289789514626,1.17666666667,0.00169002048672,-0.00119609749634,2,0.27,0.633333333333,14,27,59,3.50191570745,4.69801320378,-1.19609749634
300,0.0133333333333,0,0.58,1.5935440727e-05,0.00333885763961,0.00243815429968,0.00235847709604,1.15066666667,0.00126471753116,-0.000900703339931,5,0.216666666667,0.58,1.33333333333,21.6666666667,77,2.43815429968,3.33885763961,-0.900703339931
300,0,0,0.566666666667,0,0.00316709407032,0.00230311776136,0.00230311776136,1.14666666667,0.00121736404527,-0.000863976308961,10,0.203333333333,0.566666666667,0,20.3333333333,79.6666666667,2.30311776136,3.16709407032,-0.863976308961
300,0.8,0.05,0.9,0.00597776107985,0.0120062949204,0.00427664722747,0.00427664722747,1.32166666667,0.00772964772071,-0.00772964769297,0,0.0566666666667,0.9,80,5.66666666667,14.3333333333,4.27664722747,12.0062949204,-7.72964769297
300,0.746666666667,0.05,0.9,0.00418837661306,0.00980552082925,0.00424969492423,0.00404027609358,1.27766666667,0.00574616494558,-0.00555582590502,0.05,0.11,0.9,74.6666666667,11,14.3333333333,4.24969492423,9.80552082925,-5.55582590502
300,0.733333333333,0.05,0.9,0.0038697013401,0.00950221583582,0.00422566172473,0.00383869159072,1.27066666667,0.005473276655,-0.00527655411109,0.1,0.123333333333,0.9,73.3333333333,12.3333333333,14.3333333333,4.22566172473,9.50221583582,-5.27655411109
300,0.44,0.05,0.68,0.00134269613276,0.00580828592699,0.00370909797311,0.00337342393992,1.21266666667,0.00242521458903,-0.00209918795387,0.25,0.196666666667,0.68,44,19.6666666667,36.3333333333,3.70909797311,5.80828592699,-2.09918795387
