trajectory_id,scenario_id,profile_id,q_mode,method_id,control_id,delivery_change_kw,jain_change_percentage_points,minimum_voltage_margin_mpu,maximum_loading_ratio,maximum_mva_excess,matched_q_pair_pass_rate
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,max_export_lp,DELIVERY_RATIO_CF_BETA_050,-1.67224680618,-0.636687887322,7.98370500285,0.909090914931,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,max_export_lp,EXTERNALITY_CF_BETA_025,-3.12848929887,-0.231181511182,7.89567182223,0.909090912175,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,max_export_lp,EXTERNALITY_CF_BETA_050,3.32922920809,0.483232534576,7.59788710399,0.90909091239,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,max_export_lp,EXTERNALITY_CF_BETA_100,-16.3787515138,-0.168934911418,7.47926679336,0.909090924271,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,max_export_lp,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-22.9539525548,0.175028185641,7.78378950693,0.909090909062,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,fairness_qp,NO_FEEDBACK,-1.84113115903,-0.488022005774,7.82654596691,0.909090906834,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,fairness_qp,DELIVERY_RATIO_CF_BETA_050,1.70034554469,-0.280760295149,7.71702723921,0.909090918296,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,fairness_qp,EXTERNALITY_CF_BETA_025,-0.0601554484575,-0.146474457309,7.63267845587,0.909090918312,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,fairness_qp,EXTERNALITY_CF_BETA_050,4.2781939204,-0.0683693250384,7.40729511926,0.909090912868,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,fairness_qp,EXTERNALITY_CF_BETA_100,-16.4958307553,-1.15124429672,7.2515560163,0.909090918107,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::fairness_qp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q0,fairness_qp,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-7.14227009323,-0.285791250186,7.67898996719,0.909090912724,0,1
