control_id,delivery_improvement_vs_no_feedback_kw,externality_share_reduction_percentage_points,gate_interval_share,idle_award_reduction_kw,mean_normalized_jain_change_from_reference,mean_redistribution_change_kw,mean_request_attenuation_kw,pair_count,penalty_to_export_value_ratio,positive_part_loss_reduction_kw
DELIVERY_RATIO_CF_BETA_050,15.1972125267,20.5555555556,0,13.6207557382,-0.0120605387555,-19.425319952,24.083220595,90,0,13.5724960547
EXTERNALITY_CF_BETA_025,18.8613749395,25.1388888889,0.990277777778,17.9719222934,-0.00675871917603,-24.2958062204,39.7989370513,90,0,16.1340862685
EXTERNALITY_CF_BETA_050,24.9246066476,29.0277777778,0.990277777778,25.5002762829,-0.00454174182915,-16.4134707262,57.3620994906,90,0,16.7781211088
EXTERNALITY_CF_BETA_100,-1.66211368674,15.5555555556,1,11.1972373,-0.0119623627677,21.8145192914,111.21130125,90,0,-11.3525731371
UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,0.0886468270553,-4.86111111111,0,8.25781592411,-0.0139332036025,2.65855980748,57.3620994906,90,0,-0.303997936868
DELIVERY_RATIO_CF_BETA_050,0.948276822641,1.11111111111,0,0.725754433222,-0.0020005757619,-0.79960401209,2.04100189034,90,1,0.499601291544
EXTERNALITY_CF_BETA_025,1.84458220428,5.55555555556,0.988888888889,2.40749853688,-0.000232619894458,1.26210573605,11.0916478388,90,1,-0.303753909163
EXTERNALITY_CF_BETA_050,7.72407619299,6.66666666667,0.995833333333,10.1356077942,0.0021922755264,10.8960139072,30.811520608,90,1,-0.644355933082
EXTERNALITY_CF_BETA_100,-12.3875268677,3.33333333333,1,1.5870589848,0.000438935900983,50.6095051181,94.77636,90,1,-25.3040964594
UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-1.30129112122,-4.44444444444,0,3.01133616921,0.00201662913549,7.93381209885,30.811520608,90,1,-3.18047159813
DELIVERY_RATIO_CF_BETA_050,0.301416865431,0,0,0.252164260557,0.00116706560806,0.304062737869,0.423752180397,90,10,0.00589497490729
EXTERNALITY_CF_BETA_025,0.924953933256,-0.416666666667,1,1.80993792933,0.00233477569888,5.69620674393,8.21818093226,90,10,-1.34475862124
EXTERNALITY_CF_BETA_050,7.08040143992,-1.25,1,9.67640467778,0.00476447426676,18.5642783868,25.8054004936,90,10,-1.78765375388
EXTERNALITY_CF_BETA_100,-11.1989729268,-0.694444444444,1,2.2793276087,0.00323360001205,61.0510570779,88.6074,90,10,-25.5163004921
UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-1.1416282935,0,0,2.61957724031,0.00516070118293,8.51166552401,25.8054004936,90,10,-3.44798340093
