gate_interval_count,gate_interval_share_meeting_threshold,lower_quartile_gate_total_delivery_recovery_kw,median_gate_total_delivery_recovery_kw,total_delivery_recovery_threshold_kw,upper_quartile_gate_total_delivery_recovery_kw
12910,1,25.6061972609,37.8436869746,0,57.52656215
12910,1,25.6061972609,37.8436869746,0.1,57.52656215
12910,1,25.6061972609,37.8436869746,1,57.52656215
12910,0.994577846631,25.6061972609,37.8436869746,5,57.52656215
