Mapping,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M01,2013-01-02,No feedback,3.7058067028273376,4.258585058400149,0.5527783555728112,-1.1284536593921515,0
M01,2013-01-02,Previous-day persistence,3.5037732667887385,3.9403728383720598,0.4365995715833213,-1.3292655583972823,0
M01,2013-01-02,ECF,3.7666520254009197,4.313242805474061,0.5465907800731411,-1.0683136445789783,13
M01,2013-01-02,Equal-total control,3.7057875023409617,4.257908601674798,0.5521210993338355,-1.1284726524482391,0
M01,2013-01-03,No feedback,3.7211170895279855,3.9083760635245266,0.18725897399654107,-0.7535122168847246,0
M01,2013-01-03,Previous-day persistence,3.151100096796541,3.2377456358057266,0.08664553900918541,-1.3208956394277012,0
M01,2013-01-03,ECF,3.8217647429375528,3.9714892076216497,0.14972446468409706,-0.6538129942410036,17
M01,2013-01-03,Equal-total control,3.7211369456835564,3.908396363403291,0.18725941771973448,-0.7534925536648367,0
M01,2013-01-04,No feedback,4.239590242902038,4.475819223640167,0.23622898073812904,-0.8582752541137532,0
M01,2013-01-04,Previous-day persistence,4.01563642532351,4.175685200986391,0.16004877566287912,-1.0806606335684732,0
M01,2013-01-04,ECF,4.289536309579863,4.483953297656716,0.19441698807685243,-0.8089312292277233,21
M01,2013-01-04,Equal-total control,4.239566617967689,4.4757951535931895,0.23622853562550084,-0.8582986212112271,0
M01,2013-01-05,No feedback,3.950375322531969,4.0765136309226175,0.12613830839064824,-2.1678208330246624,0
M01,2013-01-05,Previous-day persistence,3.715849221867097,3.7460744768711534,0.030225255004056227,-2.4010141073722986,0
M01,2013-01-05,ECF,3.9892767263715116,4.094008209086539,0.10473148271502761,-2.1292666668617213,17
M01,2013-01-05,Equal-total control,3.9503985668973876,4.076537279998792,0.12613871310140445,-2.167797813584926,0
M01,2013-01-06,No feedback,3.777619894440791,3.8918102942367936,0.11419039979600262,-2.1851646314203204,0
M01,2013-01-06,Previous-day persistence,3.5316842173013496,3.5565907575040683,0.024906540202718923,-2.429985654954876,0
