Mapping,Comparator,Delivery difference (MWh),Mean daily difference (kWh/day),95% lower (kWh/day),95% upper (kWh/day),Negative error (kWh/day),Positive error (kWh/day),Authorization difference (MWh),Unused difference (MWh),Positive days,Negative days,Unchanged days,Qualifying intervals,Assessed intervals
M01,No feedback,2.101432596715142,26.26790745893931,14.316649672792375,38.219165245086245,11.951257786146934,11.951257786146936,0.8195505555025306,-1.2818820412125689,49,31,0,662,3840
M01,Equal-total control,2.1031794685409864,26.289743356762607,14.34804240202813,38.231444311497064,11.941700954734477,11.941700954734458,0.8492443076165728,-1.2539351609243994,49,31,0,662,3840
M01,Previous-day persistence,35.416032632498485,442.7004079062311,397.44754008123186,487.95327573123024,45.252867824999214,45.25286782499916,92.95985311995165,57.543820487453175,80,0,0,662,3840
M02,No feedback,0.8647307911494835,10.8091348893686,3.4983937685836417,18.119876010153558,7.310741120784959,7.310741120784957,1.217372949085643,0.3526421579361525,24,43,13,406,3840
M02,Equal-total control,0.8651073933714741,10.813842417143425,3.5030489361110426,18.124635898175804,7.310793481032382,7.310793481032379,1.2262910194850747,0.36118362611359345,29,42,9,406,3840
M02,Previous-day persistence,7.894487319277417,98.68109149096772,66.48642596925406,130.87575701268136,32.19466552171366,32.194665521713645,41.92148732902396,34.02700000974652,61,19,0,406,3840
M03,No feedback,5.055462105641624,63.19327632052031,45.4650307027339,80.92152193830673,17.728245617786413,17.728245617786413,3.6222115214735027,-1.4332505841681495,67,13,0,856,3840
M03,Equal-total control,5.056458694101252,63.205733676265794,45.47001675085487,80.94145060167672,17.735716925410927,17.735716925410927,3.6591579217616754,-1.3973007723395625,67,13,0,856,3840
M03,Previous-day persistence,38.738862019328195,484.23577524160254,432.0071737087637,536.4643767744413,52.228601532838866,52.22860153283881,97.6990440953096,58.960182075981415,80,0,0,856,3840
M04,No feedback,1.3606018485103846,17.007523106379725,11.88173363428197,22.133312578477483,5.125789472097756,5.1257894720977575,0.9391070510333179,-0.42149479747709506,60,17,3,463,3840
M04,Equal-total control,1.3604750594636812,17.005938243296022,11.879557837726223,22.132318648865816,5.126380405569799,5.126380405569794,0.9554722786314187,-0.4050027808322767,60,17,3,463,3840
M04,Previous-day persistence,42.32616080405549,529.0770100506936,444.4911051353514,613.6629149660358,84.58590491534221,84.58590491534221,122.16231039413987,79.83614959008437,80,0,0,463,3840
M05,No feedback,2.947876200779575,36.8484525097449,26.47550885046163,47.22139616902818,10.372943659283273,10.37294365928328,2.4814069758944015,-0.46646922488523046,76,4,0,798,3840
M05,Equal-total control,2.9493718732047114,36.86714841505879,26.483424283386427,47.25087254673116,10.383724131672366,10.383724131672366,2.49141449072539,-0.45795738247936413,76,4,0,798,3840
M05,Previous-day persistence,30.279931879162916,378.4991484895366,335.2310729275566,421.7672240515165,43.26807556197997,43.26807556197991,80.25897456019064,49.979042681027686,80,0,0,798,3840
