forecast_cv,penalty_to_export_value_ratio,cell_count,mean_selected_gamma,inflated_request_cell_share,strict_private_gain_cell_share,endogenous_externality_cell_share,productive_high_request_cell_share,mean_private_utility_gain_mw_equivalent,mean_own_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_own_idle_award_mw
0.0,0.0,300,1.2033333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.29,0.003939626375480845,0.003939626375480845,0.005750407788048285,-0.0018107814125674505,0.0022337116766161466,0.0010044357540547866
0.0,0.05,300,1.2033333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.29,0.003889404587778106,0.003939626375480845,0.005750407788048285,-0.0018107814125674505,0.0022337116766161466,0.0010044357540547866
0.0,0.1,300,1.2020000000000002,0.6666666666666666,0.6666666666666666,0.32,0.29,0.0038394484666924643,0.003938606208665948,0.005716243310779889,-0.0017776371021139515,0.0022005673661626476,0.0009915774197348487
0.0,0.25,300,1.1946666666666665,0.6666666666666666,0.6666666666666666,0.24666666666666667,0.2966666666666667,0.003696566358284068,0.00391301354870485,0.005467039908740848,-0.0015540263600360093,0.0019783739764230425,0.0008657887616831298
0.0,0.5,300,1.1926666666666668,0.6666666666666666,0.6666666666666666,0.22666666666666666,0.30333333333333334,0.0034894825624092016,0.0038950869184659026,0.005372887104249771,-0.0014778001857838775,0.0019180881189153614,0.0008112087121134023
0.0,1.0,300,1.1833333333333333,0.64,0.64,0.2,0.27666666666666667,0.0032109401780362652,0.0036423518834875386,0.005014410378605874,-0.0013720584951183409,0.001869373301597639,0.0004314117054512731
0.0,2.0,300,1.1766666666666667,0.6333333333333333,0.6333333333333333,0.14,0.27,0.002897895146258737,0.003501915707446,0.004698013203782917,-0.00119609749633692,0.0016900204867172875,0.0003020102805936318
0.0,5.0,300,1.1506666666666667,0.58,0.58,0.013333333333333334,0.21666666666666667,0.002358477096042292,0.0024381542996774848,0.003338857639608787,-0.0009007033399313065,0.0012647175311578656,1.59354407270385e-05
0.0,10.0,300,1.1466666666666667,0.5666666666666667,0.5666666666666667,0.0,0.20333333333333334,0.002303117761356235,0.002303117761356235,0.0031670940703174316,-0.0008639763089612007,0.0012173640452720113,0.0
0.05,0.0,300,1.3216666666666668,0.9,0.9,0.8,0.056666666666666664,0.004276647227465916,0.004276647227465916,0.012006294920432994,-0.007729647692967075,0.007729647720712087,0.005977761079849186
0.05,0.05,300,1.2776666666666667,0.9,0.9,0.7466666666666667,0.11,0.0040402760935786455,0.004249694924231674,0.009805520829251237,-0.00555582590501957,0.005746164945576694,0.004188376613060544
0.05,0.1,300,1.2706666666666666,0.9,0.9,0.7333333333333333,0.12333333333333334,0.0038386915907236,0.004225661724733409,0.009502215835824905,-0.005276554111091502,0.005473276654998257,0.003869701340098095
0.05,0.25,300,1.2126666666666668,0.68,0.68,0.44,0.19666666666666666,0.0033734239399229836,0.0037090979731134923,0.005808285926985944,-0.0020991879538724404,0.002425214589028333,0.0013426961327620388
0.05,0.5,300,1.2020000000000002,0.6666666666666666,0.6666666666666666,0.41333333333333333,0.21,0.0030567405268866013,0.0036737489272465024,0.005567534753630978,-0.001893785826384465,0.0022203752099860504,0.0012340168007198007
0.05,1.0,300,1.1833333333333333,0.64,0.64,0.36666666666666664,0.23,0.0025635453259096894,0.0033186544574242503,0.004908852197142816,-0.001590197739718553,0.0019375982889509014,0.0007551091315145613
