assumed_forecast_cv,penalty_to_export_value_ratio,method_id,realized_cv_multiplier,realized_mean_bias,cell_count,mean_private_utility_gain_mw_equivalent,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_own_idle_award_mw
0.0,0.0,equal_kw_reduction,0.5,-0.1,60,0.0012219018074805601,-0.0031919560774681536,0.0031919560774681536,0.0065774530654345
0.0,0.0,equal_kw_reduction,0.5,0.0,60,0.005177166286741792,-0.0034672409848948,0.003723075489378077,0.002622188586173268
0.0,0.0,equal_kw_reduction,0.5,0.1,60,0.00779935487291506,-0.0008450523987214649,0.0029475092998443087,0.0
0.0,0.0,equal_kw_reduction,1.0,-0.1,60,0.0012219018074805601,-0.0031919560774681536,0.0031919560774681536,0.0065774530654345
0.0,0.0,equal_kw_reduction,1.0,0.0,60,0.005177166286741792,-0.0034672409848948,0.003723075489378077,0.002622188586173268
0.0,0.0,equal_kw_reduction,1.0,0.1,60,0.00779935487291506,-0.0008450523987214649,0.0029475092998443087,0.0
0.0,0.0,equal_kw_reduction,1.5,-0.1,60,0.0012219018074805601,-0.0031919560774681536,0.0031919560774681536,0.0065774530654345
0.0,0.0,equal_kw_reduction,1.5,0.0,60,0.005177166286741792,-0.0034672409848948,0.003723075489378077,0.002622188586173268
0.0,0.0,equal_kw_reduction,1.5,0.1,60,0.00779935487291506,-0.0008450523987214649,0.0029475092998443087,0.0
0.0,0.0,fairness_qp,0.5,-0.1,60,0.0019510999989904433,-0.00675515096305449,0.00675515096305449,0.005360405966146102
0.0,0.0,fairness_qp,0.5,0.0,60,0.005795847278893877,-0.0037448886664621208,0.0038711483093379203,0.0015156586862426675
0.0,0.0,fairness_qp,0.5,0.1,60,0.007311505965136546,-0.0022292299802194604,0.0032341553491374944,0.0
0.0,0.0,fairness_qp,1.0,-0.1,60,0.0019510999989904433,-0.00675515096305449,0.00675515096305449,0.005360405966146102
0.0,0.0,fairness_qp,1.0,0.0,60,0.005795847278893877,-0.0037448886664621208,0.0038711483093379203,0.0015156586862426675
0.0,0.0,fairness_qp,1.0,0.1,60,0.007311505965136546,-0.0022292299802194604,0.0032341553491374944,0.0
0.0,0.0,fairness_qp,1.5,-0.1,60,0.0019510999989904433,-0.00675515096305449,0.00675515096305449,0.005360405966146102
0.0,0.0,fairness_qp,1.5,0.0,60,0.005795847278893877,-0.0037448886664621208,0.0038711483093379203,0.0015156586862426675
