reporter_id,reporter_bus_id,gamma,q_mode,method_id,matched_q_pair_pass,reference_total_export_mw,reported_total_export_mw,total_export_change_mw,redistribution_mw,reporter_access_gain_mw,other_participant_access_loss_mw,reported_maximum_loading_ratio,reported_minimum_voltage_pu
p001,8,1.0,Q0,weighted_proportional,1,1.5070032969994482,1.5070032969994482,0.0,0.0,0.0,0.0,0.9090908986590723,0.9572374939891118
p001,8,1.0,Q0,equal_kw_reduction,1,1.612487277003052,1.612487277003052,0.0,0.0,0.0,0.0,0.9090909085411034,0.9577651340631068
p001,8,1.0,Q0,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090908983503695,0.955563065083861
p001,8,1.0,Q0,max_export_lp,1,1.6572322875094938,1.6572322875094938,0.0,0.0,0.0,0.0,0.9090908879931944,0.9580058048566669
p001,8,1.0,Q0,fairness_qp,1,1.5948810760742278,1.5948810760742278,0.0,0.0,0.0,0.0,0.9090908901901453,0.9577105026709762
p001,8,1.0,Q95,weighted_proportional,1,1.5070032970001674,1.5070032970001674,0.0,0.0,0.0,0.0,0.9090908975310804,0.9556770734851585
p001,8,1.0,Q95,equal_kw_reduction,1,1.612487277003052,1.612487277003052,0.0,0.0,0.0,0.0,0.9090908917775226,0.9560812375763708
p001,8,1.0,Q95,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090909069966064,0.9543941331679278
p001,8,1.0,Q95,max_export_lp,1,1.6572322873433465,1.6572322873433465,0.0,0.0,0.0,0.0,0.9090909076611658,0.956265611819685
p001,8,1.0,Q95,fairness_qp,1,1.5948810871865815,1.5948810871865815,0.0,0.0,0.0,0.0,0.9090909102228547,0.9560392884682518
p001,8,1.1,Q0,weighted_proportional,1,1.5070032969994482,1.504825300394048,-0.002177996605400301,0.004050755469738671,0.0029617571670385,0.005139753772438843,0.9090909036272602,0.9572196047397876
p001,8,1.1,Q0,equal_kw_reduction,1,1.612487277003052,1.6116777619129175,-0.0008095150901346049,0.0038668259902350783,0.0034620684451677833,0.004271583535302373,0.9090908988581067,0.9577532842706885
p001,8,1.1,Q0,flat_level,1,1.1849636607191736,1.1752862777655144,-0.009677382953659164,0.00845331647682954,0.0036146250000000033,0.013292007953659077,0.9090908913627548,0.9555047179489476
p001,8,1.1,Q0,max_export_lp,1,1.6572322875094938,1.6572322878631922,3.5369840389876117e-10,1.2008493938386053e-07,0.0,8.062910436979365e-08,0.9090908959552464,0.9580058054743373
