method_id,forecast_cv,penalty_to_export_value_ratio,cell_count,mean_selected_gamma,inflated_request_cell_share,strict_private_gain_cell_share,endogenous_externality_cell_share,productive_high_request_cell_share,mean_private_utility_gain_mw_equivalent,mean_own_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_own_idle_award_mw
weighted_proportional,0.0,0.0,60,1.2,1.0,1.0,0.6,0.4,0.008725106766673077,0.008725106766673077,0.010566884234792937,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
weighted_proportional,0.0,0.05,60,1.2,1.0,1.0,0.6,0.4,0.008680890191780177,0.008725106766673077,0.010566884234792937,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
weighted_proportional,0.0,0.1,60,1.2,1.0,1.0,0.6,0.4,0.008636673616887277,0.008725106766673077,0.010566884234792937,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
weighted_proportional,0.0,0.25,60,1.2,1.0,1.0,0.6,0.4,0.008504023892208579,0.008725106766673077,0.010566884234792937,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
weighted_proportional,0.0,0.5,60,1.2,1.0,1.0,0.6,0.4,0.008282941017744079,0.008725106766673077,0.010566884234792937,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
weighted_proportional,0.0,1.0,60,1.2,1.0,1.0,0.6,0.4,0.00784077526881508,0.008725106766673077,0.010566884234792937,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
weighted_proportional,0.0,2.0,60,1.2,1.0,1.0,0.6,0.4,0.006956443770957083,0.008725106766673077,0.010566884234792937,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
weighted_proportional,0.0,5.0,60,1.1,1.0,1.0,0.0,0.4,0.004830955023669134,0.004830955023669134,0.005072081538662132,-0.0002411265149929657,0.0015045769519594612,0.0
weighted_proportional,0.0,10.0,60,1.1,1.0,1.0,0.0,0.4,0.004830955023669134,0.004830955023669134,0.005072081538662132,-0.0002411265149929657,0.0015045769519594612,0.0
weighted_proportional,0.05,0.0,60,1.4,1.0,1.0,1.0,0.0,0.008725106766673077,0.008725106766673077,0.02276342936222763,-0.01403832259555451,0.01403832259555451,0.010269346350545772
weighted_proportional,0.05,0.05,60,1.3,1.0,1.0,0.8666666666666667,0.13333333333333333,0.008425795147979885,0.008707031291900305,0.01646929630067746,-0.007762265008777103,0.008523315227910045,0.0056247228784084054
weighted_proportional,0.05,0.1,60,1.3,1.0,1.0,0.8666666666666667,0.13333333333333333,0.008144559004059464,0.008707031291900305,0.01646929630067746,-0.007762265008777103,0.008523315227910045,0.0056247228784084054
weighted_proportional,0.05,0.25,60,1.2,1.0,1.0,0.8,0.2,0.007467624867934356,0.007895987547253699,0.010566884234792937,-0.0026708966875391964,0.0040071155901423555,0.001713450717277374
weighted_proportional,0.05,0.5,60,1.2,1.0,1.0,0.8,0.2,0.0070392621886150135,0.007895987547253699,0.010566884234792937,-0.0026708966875391964,0.0040071155901423555,0.001713450717277374
weighted_proportional,0.05,1.0,60,1.2,1.0,1.0,0.8,0.2,0.006182536829976326,0.007895987547253699,0.010566884234792937,-0.0026708966875391964,0.0040071155901423555,0.001713450717277374
weighted_proportional,0.05,2.0,60,1.2,1.0,1.0,0.8,0.2,0.004469086112698952,0.007895987547253699,0.010566884234792937,-0.0026708966875391964,0.0040071155901423555,0.001713450717277374
weighted_proportional,0.05,5.0,60,1.1,1.0,1.0,0.6,0.4,0.0040803163022956135,0.00470584857010688,0.005072081538662132,-0.00036623296855520606,0.001545654139025369,0.00012510645356225345
weighted_proportional,0.05,10.0,60,1.1,1.0,1.0,0.6,0.4,0.003454784034484346,0.00470584857010688,0.005072081538662132,-0.00036623296855520606,0.001545654139025369,0.00012510645356225345
weighted_proportional,0.1,0.0,60,1.5,1.0,1.0,1.0,0.0,0.00891676946875601,0.00891676946875601,0.027593182500723075,-0.018676413031967043,0.018676413031967043,0.014677569665076549
weighted_proportional,0.1,0.05,60,1.4,1.0,1.0,0.8666666666666667,0.13333333333333333,0.008312980171837436,0.008821621740665123,0.02134071502708839,-0.012519093286423236,0.012700617274087818,0.010172831376553728
