Behavior,Comparator,Seed,Contiguous block,Dates in block,Delivery difference (MWh)
Own-delivery adaptation,Same update without qualification,Mean of 3 seeds,8,7,0.3221452061561507
Own-delivery adaptation,Same update without qualification,Mean of 3 seeds,9,35,2.2978107940204855
Own-delivery adaptation,Same update without qualification,Mean of 3 seeds,10,5,0.4158268174882621
Own-delivery adaptation,Equal-total shadow,2001,1,7,0.0020892603599360626
Own-delivery adaptation,Equal-total shadow,2001,2,14,0.1209212122422465
Own-delivery adaptation,Equal-total shadow,2001,3,3,0.10047352006311638
Own-delivery adaptation,Equal-total shadow,2001,4,2,0.01747636074777592
Own-delivery adaptation,Equal-total shadow,2001,5,2,-0.04727440480477885
Own-delivery adaptation,Equal-total shadow,2001,6,1,-0.04873101327408369
Own-delivery adaptation,Equal-total shadow,2001,7,4,-0.015915100416294514
Own-delivery adaptation,Equal-total shadow,2001,8,7,0.1639476916585556
Own-delivery adaptation,Equal-total shadow,2001,9,35,0.8040183071580048
Own-delivery adaptation,Equal-total shadow,2001,10,5,0.009057201215258104
Own-delivery adaptation,Equal-total shadow,2002,1,7,0.05746041657384815
Own-delivery adaptation,Equal-total shadow,2002,2,14,0.29258742221925793
Own-delivery adaptation,Equal-total shadow,2002,3,3,0.0841230266373203
Own-delivery adaptation,Equal-total shadow,2002,4,2,0.14853330448876045
Own-delivery adaptation,Equal-total shadow,2002,5,2,0.010010624163347082
Own-delivery adaptation,Equal-total shadow,2002,6,1,0.040241749061090015
Own-delivery adaptation,Equal-total shadow,2002,7,4,-0.01826690405521525
Own-delivery adaptation,Equal-total shadow,2002,8,7,0.15390622760429506
Own-delivery adaptation,Equal-total shadow,2002,9,35,0.8133698192146058
Own-delivery adaptation,Equal-total shadow,2002,10,5,0.22446830600973589
Own-delivery adaptation,Equal-total shadow,2003,1,7,0.05525585233642705
Own-delivery adaptation,Equal-total shadow,2003,2,14,0.07748847587961194
Own-delivery adaptation,Equal-total shadow,2003,3,3,0.012037608487487361
Own-delivery adaptation,Equal-total shadow,2003,4,2,0.11253037941926003
Own-delivery adaptation,Equal-total shadow,2003,5,2,-0.012472790042356241
Own-delivery adaptation,Equal-total shadow,2003,6,1,0.004559286639111093
Own-delivery adaptation,Equal-total shadow,2003,7,4,0.04605909205395253
Own-delivery adaptation,Equal-total shadow,2003,8,7,0.33009049962064596
