PV capacity factor,Setting,Primary reference,PV capacity (MW),Available export (MWh),NF unallocated-request intervals,NF undelivered availability (MWh)
0.5,PV050,false,2.0449589762299527,421.2300542661606,1422,221.04659960260022
0.75,PV075,false,3.067438464344929,656.8256227980586,1610,432.63591414096675
1,PV100,true,4.089917952459905,893.728246789651,1706,655.7649154288065
1.25,PV125,false,5.112397440574881,1131.2618666639903,1740,884.0280447498109
1.5,PV150,false,6.134876928689858,1369.1533372590218,1766,1115.1366891201003
