date,control,delivered_export_mwh,authorized_export_mwh,idle_authorization_mwh,available_export_mwh,curtailed_available_export_mwh,post_event_signal_absolute_error_mwh,telemetry_dropout_count,raw_request_mwh,admitted_request_mwh,gate_count,all_interval_physical_pair_pass,maximum_actual_voltage_pu,minimum_actual_voltage_pu,maximum_transformer_loading_pu,power_flow_count,participant_delivery_p10_mwh,participant_delivery_median_mwh,participant_delivery_p90_mwh
2013-01-02,NO_FEEDBACK,1.0455645852182784,1.5303658428065643,0.4848012575882857,1.2154068354201908,0.16984225020191238,0.0,0,2.468367191157505,2.468367191157505,0,1,1.0696611347168206,0.9805242125088168,0.8511577686312112,461,0.015735510808479413,0.022324234182157437,0.04646036394415143
2013-01-02,PERSISTENCE_ONLY,0.9987918865862854,1.3425681611368734,0.34377627455058796,1.2154068354201908,0.2166149488339056,0.0,0,2.468367191157505,1.7086888900529593,0,1,1.0696657951705144,0.977658887461288,0.8338462684967403,410,0.01520955054398641,0.022451272175024562,0.04149434622304808
2013-01-02,ECF,1.0540540402146037,1.4909421458324632,0.43688810561785935,1.2154068354201908,0.16135279520558723,0.0,0,2.468367191157505,2.238563183477319,6,1,1.0712776787250877,0.9805242125088168,0.8494179860787835,835,0.01620095328780832,0.022301905245202636,0.04633171122177334
2013-01-02,MATCHED_UNIFORM,1.0445461901079574,1.5221354899809263,0.47758929987296883,1.2154068354201908,0.17086064531223363,0.0,0,2.468367191157505,2.2385631834773196,0,1,1.0696613654721983,0.9805242125088168,0.8511602439072501,461,0.015735516259455035,0.022324243409391733,0.046317407644252934
2013-01-03,NO_FEEDBACK,1.1168462010703197,1.3142654116081771,0.19741921053785735,1.5162871812224223,0.3994409801521026,0.0,0,2.045101695467017,2.045101695467017,0,1,1.0722782372530941,0.9792352562832438,0.8904091316832101,445,0.01841802865779944,0.02569476318066127,0.04566044402997584
2013-01-03,PERSISTENCE_ONLY,0.9366626157684504,1.0661397158454928,0.12947710007704233,1.5162871812224223,0.579624565453972,0.0,0,2.045101695467017,1.2154068793021142,0,1,1.071499979675077,0.9787316284202957,0.8394481717700176,393,0.014679464377535293,0.018799375008593362,0.04270818175746799
2013-01-03,ECF,1.1736209306311431,1.3897655034518597,0.21614457282071656,1.5162871812224223,0.3426662505912792,0.0,0,2.045101695467017,1.8840973566931176,6,1,1.0721579156323244,0.9792352562832438,0.9392287989958515,803,0.01922810579557426,0.029421367194882444,0.048283499406757795
2013-01-03,MATCHED_UNIFORM,1.1168469646854258,1.314267349853915,0.19742038516848925,1.5162871812224223,0.3994402165369967,0.0,0,2.045101695467017,1.8840973566931176,0,1,1.0722783925466146,0.9792352562832438,0.8904102113769634,445,0.01841802283125536,0.02569480285053499,0.045660459209342905
2013-01-04,NO_FEEDBACK,1.420969679130588,1.5369990985330033,0.11602941940241543,1.9191366165285206,0.4981669373979327,0.0,0,2.3254306204322712,2.3254306204322712,0,1,1.0714446399848534,0.9784008671848908,0.9903429802906125,446,0.026314825420668694,0.03765383763664959,0.06501128712935958
2013-01-04,PERSISTENCE_ONLY,1.2800703095400483,1.3083674477449576,0.028297138204909308,1.9191366165285206,0.6390663069884721,0.0,0,2.3254306204322712,1.516287233132869,0,1,1.0702401912487556,0.9784008671848908,0.9999953530955372,378,0.020289836315080956,0.03283297924246757,0.053315484228425615
2013-01-04,ECF,1.4194225717976496,1.5351284394646494,0.11570586766700001,1.9191366165285206,0.4997140447308711,0.0,0,2.3254306204322712,2.322739124317505,3,1,1.0714446399848534,0.9784008671848908,0.9828343389422876,856,0.025877030605074597,0.03762953312767504,0.06496298258902207
