date,control,delivered_export_mwh,authorized_export_mwh,idle_authorization_mwh,available_export_mwh,curtailed_available_export_mwh,post_event_signal_absolute_error_mwh,telemetry_dropout_count,raw_request_mwh,admitted_request_mwh,gate_count,all_interval_physical_pair_pass,maximum_actual_voltage_pu,minimum_actual_voltage_pu,maximum_transformer_loading_pu,power_flow_count,participant_delivery_p10_mwh,participant_delivery_median_mwh,participant_delivery_p90_mwh
2013-01-02,NO_FEEDBACK,3.7154143758289084,4.384623239498406,0.6692088636694975,13.075772994254313,9.360358618425403,0.0,0,30.900056185789015,30.900056185789015,0,1,1.0710323789567378,0.962421658709584,0.10453131736052297,586,0.004592673753724458,0.007109444923228243,0.014790616683592139
2013-01-02,PERSISTENCE_ONLY,3.324544686034331,3.811754664035484,0.4872099780011531,13.075772994254313,9.75122830821998,0.0,0,30.900056185789015,21.24890127751838,0,1,1.0704897460256435,0.9624018162157021,0.10321905377625924,569,0.003851637895831826,0.006338089952827228,0.013201392365106526
2013-01-02,ECF,3.718352401998956,4.4326358345007915,0.7142834325018349,13.075772994254313,9.357420592255357,3.4076314902545812,0,30.900056185789015,30.68529909895201,5,1,1.071014482385634,0.9624237371806993,0.10485425604284938,1098,0.0045915400038430846,0.007119711770568771,0.014682391453264262
2013-01-02,MATCHED_UNIFORM,3.7154203853506447,4.384633121954385,0.6692127366037408,13.075772994254313,9.360352608903668,0.0,0,30.900056185789015,30.68529909895201,0,1,1.0710328150334605,0.9624216768049644,0.10453490195010257,586,0.004592681314334917,0.007109454423434872,0.014790636068330174
2013-01-03,NO_FEEDBACK,4.111900324942232,4.438435614351821,0.3265352894095893,19.00212262158352,14.890222296641287,0.0,0,23.945524987023003,23.945524987023003,0,1,1.0707398710417944,0.9673695440224981,0.10815312156615423,556,0.004873238048794915,0.008062306740054325,0.015410256266699295
2013-01-03,PERSISTENCE_ONLY,3.271171838245902,3.4343873884873037,0.1632155502414021,19.00212262158352,15.730950783337617,0.0,0,23.945524987023003,13.075122683071388,0,1,1.0702810230125281,0.9671923513637216,0.1028399372346325,488,0.0031757775594880295,0.00618811939421878,0.01348687325960256
2013-01-03,ECF,4.1170083093024346,4.423659561283495,0.30665125198106036,19.00212262158352,14.885114312281084,3.888447765627454,0,23.945524987023003,23.790111894302076,12,1,1.0707406273102766,0.9673697162080864,0.10761928420291661,1084,0.004883084064123951,0.00807330359146549,0.01528319704623366
2013-01-03,MATCHED_UNIFORM,4.111920099865383,4.438454908508324,0.32653480864294004,19.00212262158352,14.890202521718134,0.0,0,23.945524987023003,23.790111894302076,0,1,1.0707398226006724,0.9673695371167977,0.10815348662049604,556,0.004873264325997914,0.00806234097151686,0.015410330802177578
2013-01-04,NO_FEEDBACK,4.206558655409282,4.487091042075143,0.28053238666586156,23.615063088714617,19.40850443330534,0.0,0,29.355259771847585,29.355259771847585,0,1,1.0724188195117619,0.959925502198005,0.12420767149458671,575,0.0052711811902007785,0.00826810071788261,0.016580513821863783
2013-01-04,PERSISTENCE_ONLY,3.603351198209316,3.7529515537328066,0.149600355523491,23.615063088714617,20.011711890505303,0.0,0,29.355259771847585,18.978397845858154,0,1,1.0708056016005718,0.9598684188622494,0.10468469542504046,575,0.004342506370188849,0.007188801563963125,0.014197278041494826
2013-01-04,ECF,4.206027264763872,4.47777811558824,0.2717508508243688,23.615063088714617,19.40903582395075,3.02419935123978,0,29.355259771847585,29.26262976655733,11,1,1.0724188195117619,0.9599256236218552,0.12420767149459089,1138,0.005271420017771548,0.008268455075105955,0.01658107189074688
2013-01-04,MATCHED_UNIFORM,4.2065766287570145,4.487109251265471,0.28053262250845595,23.615063088714617,19.408486459957604,0.0,0,29.355259771847585,29.26262976655733,0,1,1.0724188195117619,0.9599254845724648,0.12420767149459798,575,0.005271200450076515,0.008268135863730229,0.01658057008976425
2013-01-05,NO_FEEDBACK,4.350715738491317,4.518094517170291,0.16737877867897386,22.931249817886332,18.58053407939501,0.0,0,32.44456076214182,32.44456076214182,0,1,1.0736353161968732,0.9451842111413722,0.12384913499298793,590,0.005495889185539083,0.008741866510212437,0.016280687616449477
2013-01-05,PERSISTENCE_ONLY,3.8019304893200268,3.8413728652679993,0.03944237594797226,22.931249817886332,19.129319328566304,0.0,0,32.44456076214182,23.564207823828,0,1,1.0735583094430485,0.9451694114376585,0.1238491349930011,573,0.004448554406407111,0.007620907091142499,0.014886701167868036
2013-01-05,ECF,4.3507810745701265,4.512347979885696,0.16156690531557,22.931249817886332,18.580468743316203,2.9618912148493215,0,32.44456076214182,32.389471149976664,7,1,1.0736353161968744,0.9451842111413722,0.12384913499300272,1154,0.005496081148471738,0.008742043158245625,0.01628105418800572
2013-01-05,MATCHED_UNIFORM,4.3506954650534055,4.518073949165955,0.1673784841125483,22.931249817886332,18.580554352832927,0.0,0,32.44456076214182,32.389471149976664,0,1,1.0736353161968744,0.9451842111413722,0.12384913499299004,590,0.005495855242570045,0.008741834948852807,0.016280622077978847
2013-01-06,NO_FEEDBACK,4.477300171969307,4.643086773643189,0.16578660167388143,22.725504150600997,18.24820397863169,0.0,0,32.048231558378504,32.048231558378504,0,1,1.0713008251690401,0.9621760418934495,0.10894787583375,592,0.005648017342755589,0.00890952849833997,0.016846095660924473
2013-01-06,PERSISTENCE_ONLY,3.878133442607,3.9126097869547416,0.03447634434774143,22.725504150600997,18.847370707993996,0.0,0,32.048231558378504,22.896211302473503,0,1,1.0706328116715027,0.9621760418934495,0.10725571072210424,575,0.004562765194447593,0.0077313376701157056,0.014878395729448626
