Setting,Date,Delivery (MWh),Authorization (MWh),Unused authorization (MWh)
EXACT,2013-01-02,3.7162597814398657,4.372053087630601,0.6557933061907351
EXACT,2013-01-03,4.117008309302434,4.423659561283494,0.30665125198106047
EXACT,2013-01-04,4.205292280387266,4.473143992180298,0.2678517117930319
EXACT,2013-01-05,4.344325675551028,4.505877953838943,0.16155227828791485
EXACT,2013-01-06,4.468393305207172,4.624492454354442,0.15609914914726986
EXACT,2013-01-07,4.131671679158757,4.427471925593407,0.2958002464346503
EXACT,2013-01-08,3.6985092936952992,4.023300969795377,0.324791676100078
EXACT,2013-01-12,3.8590138230321074,4.343967040553272,0.4849532175211646
EXACT,2013-01-13,2.8304855798796513,4.208577154206851,1.3780915743271995
EXACT,2013-01-14,3.873606160949856,4.535824527939616,0.6622183669897601
EXACT,2013-01-15,4.182139403539512,4.40534923864223,0.2232098351027174
EXACT,2013-01-16,4.11276889768482,4.414996058418229,0.30222716073340905
EXACT,2013-01-17,4.235812319450715,4.619645466795627,0.38383314734491236
EXACT,2013-01-18,3.9129916259406667,4.461458670274538,0.5484670443338708
EXACT,2013-01-19,3.3223572326559907,4.278950256275633,0.956593023619642
EXACT,2013-01-20,2.6504788650969227,3.9223083019375413,1.2718294368406187
EXACT,2013-01-21,4.153372556448698,4.478404605012333,0.3250320485636351
EXACT,2013-01-22,3.0888440124197474,3.8730402440946543,0.7841962316749069
EXACT,2013-01-23,3.5176325953102134,4.239567600796005,0.7219350054857916
EXACT,2013-01-24,4.167295044691503,4.628029241795328,0.46073419710382524
EXACT,2013-01-25,3.970718729771477,4.22489655098696,0.25417782121548305
EXACT,2013-04-02,3.355827515648575,3.910936645604844,0.5551091299562692
EXACT,2013-04-03,2.145522834121108,4.132255499119155,1.9867326649980468
EXACT,2013-04-04,2.947024449744256,4.271731209229915,1.3247067594856592
EXACT,2013-04-09,3.0304790140285602,4.0312189160526515,1.0007399020240912
EXACT,2013-04-10,3.8216965282751847,4.480387611006782,0.6586910827315977
EXACT,2013-04-14,3.4071875431884706,4.044738783827964,0.6375512406394934
EXACT,2013-04-15,3.3058494841013473,4.1029290848820335,0.7970796007806862
EXACT,2013-04-22,2.796195206559224,4.00278991242179,1.2065947058625657
EXACT,2013-04-28,3.1774090245621434,3.9016119150029835,0.7242028904408402
EXACT,2013-04-29,3.217960258865189,3.9792281179844715,0.7612678591192825
EXACT,2013-04-30,2.7938738891575756,3.89928295880501,1.1054090696474344
EXACT,2013-05-01,3.1458078002416063,4.229093534382697,1.0832857341410906
EXACT,2013-05-06,3.0072618985709143,3.8128300071120687,0.8055681085411543
EXACT,2013-05-07,2.937874395735607,4.012431380937804,1.0745569852021974
EXACT,2013-05-08,3.0701908317144744,4.153243776995137,1.083052945280663
EXACT,2013-05-09,3.1084792565059414,4.09558898845983,0.9871097319538884
EXACT,2013-05-10,3.0073908215361853,3.878842338047078,0.8714515165108927
EXACT,2013-05-11,2.833855143456839,4.333255330807706,1.4994001873508669
EXACT,2013-05-12,3.4233652771545273,4.625582512320058,1.2022172351655307
EXACT,2013-05-16,2.995882884476934,4.0198753109036724,1.0239924264267386
EXACT,2013-05-17,2.9405944840812612,3.8699851021874214,0.9293906181061602
EXACT,2013-05-18,2.9271341553348544,3.849922403597369,0.9227882482625147
EXACT,2013-05-19,2.8916984915046653,3.8454931161152133,0.953794624610548
EXACT,2013-05-20,2.810609263625845,3.7510927039501376,0.9404834403242925
EXACT,2013-05-21,2.8238063241157314,3.8651932660770028,1.0413869419612714
EXACT,2013-05-22,2.0069057263870436,3.9785783571430406,1.971672630755997
EXACT,2013-05-23,1.742947723905919,4.199411174474046,2.456463450568127
EXACT,2013-05-24,2.9149143845525534,4.370485422236684,1.4555710376841309
EXACT,2013-05-25,2.69512344622516,3.8953352932200183,1.2002118469948582
EXACT,2013-05-26,2.8165286739099114,3.8553522449913538,1.0388235710814424
EXACT,2013-05-27,2.414197690173118,3.9741176474145394,1.5599199572414215
EXACT,2013-05-28,2.7053979436185527,4.472684395030761,1.7672864514122084
EXACT,2013-05-29,2.9481195619413163,4.356572018308374,1.408452456367058
EXACT,2013-05-30,3.2489680881619436,4.289111263797572,1.0401431756356287
EXACT,2013-05-31,2.779683175095947,3.889918419614704,1.110235244518757
EXACT,2013-06-01,2.1938916207060046,3.753027014842763,1.5591353941367583
EXACT,2013-06-02,0.8045908551889368,4.178306431765329,3.3737155765763926
EXACT,2013-06-03,2.894385535403778,4.210185147334023,1.3157996119302453
EXACT,2013-06-04,2.542399315349576,3.6937252663244955,1.1513259509749196
EXACT,2013-06-05,2.3708710327252347,3.739948369153015,1.3690773364277802
EXACT,2013-06-06,2.382900480559051,4.170681597920328,1.7877811173612774
EXACT,2013-06-07,2.169145375450785,4.261950630564428,2.092805255113643
EXACT,2013-06-08,2.290656841541996,4.1480527952147845,1.8573959536727886
EXACT,2013-06-09,2.9262321842990895,4.150272709517333,1.2240405252182436
EXACT,2013-06-10,2.6579797890903545,4.312698733572844,1.65471894448249
EXACT,2013-06-11,2.8842214772448798,4.044172539460919,1.1599510622160394
EXACT,2013-06-12,1.4431880811226627,3.8883603203153094,2.4451722391926465
EXACT,2013-06-13,2.9176201073036703,4.29802094054764,1.3804008332439697
EXACT,2013-06-14,2.5990971136341745,3.700715453846333,1.1016183402121587
EXACT,2013-06-15,2.3597336587923357,3.9624430882299673,1.6027094294376316
EXACT,2013-06-16,2.7736445430003025,4.01172544743523,1.238080904434928
EXACT,2013-06-17,2.504713806384053,3.7119964476548244,1.2072826412707713
EXACT,2013-06-18,2.7980171223303802,3.9838684407588514,1.1858513184284711
EXACT,2013-06-19,2.63389291217429,3.9762061545273273,1.3423132423530375
EXACT,2013-06-23,1.6745511881528214,3.765532362060695,2.0909811739078736
EXACT,2013-06-24,2.4560289126737214,4.230802684062121,1.7747737713884
EXACT,2013-06-25,2.118960063762828,3.9417220251517135,1.8227619613888857
EXACT,2013-06-26,2.272242203436921,3.826334916298863,1.5540927128619422
EXACT,2013-06-27,1.9318606808793433,3.86930007084802,1.9374393899686766
R01_NEG_POINT,2013-01-02,3.7162597814398657,4.372053087630601,0.6557933061907351
R01_NEG_POINT,2013-01-03,4.117008309302434,4.423659561283494,0.30665125198106047
R01_NEG_POINT,2013-01-04,4.205292280387266,4.473143992180298,0.2678517117930319
R01_NEG_POINT,2013-01-05,4.344325675551028,4.505877953838943,0.16155227828791485
R01_NEG_POINT,2013-01-06,4.468393305207172,4.624492454354442,0.15609914914726986
R01_NEG_POINT,2013-01-07,4.131671679158757,4.427471925593407,0.2958002464346503
R01_NEG_POINT,2013-01-08,3.6985092936952992,4.023300969795377,0.324791676100078
R01_NEG_POINT,2013-01-12,3.8590138230321074,4.343967040553272,0.4849532175211646
R01_NEG_POINT,2013-01-13,2.8304855798796513,4.208577154206851,1.3780915743271995
R01_NEG_POINT,2013-01-14,3.873606160949856,4.535824527939616,0.6622183669897601
R01_NEG_POINT,2013-01-15,4.182139403539512,4.40534923864223,0.2232098351027174
R01_NEG_POINT,2013-01-16,4.11276889768482,4.414996058418229,0.30222716073340905
R01_NEG_POINT,2013-01-17,4.235812319450715,4.619645466795627,0.38383314734491236
R01_NEG_POINT,2013-01-18,3.9129916259406667,4.461458670274538,0.5484670443338708
R01_NEG_POINT,2013-01-19,3.3223572326559907,4.278950256275633,0.956593023619642
R01_NEG_POINT,2013-01-20,2.6275134756311433,3.9226671503386634,1.29515367470752
R01_NEG_POINT,2013-01-21,4.153372556448698,4.478404605012333,0.3250320485636351
R01_NEG_POINT,2013-01-22,3.0864113449507165,3.8034260975293606,0.7170147525786441
R01_NEG_POINT,2013-01-23,3.5176325953102134,4.239567600796005,0.7219350054857916
R01_NEG_POINT,2013-01-24,4.167295044691503,4.628029241795328,0.46073419710382524
R01_NEG_POINT,2013-01-25,3.970718729771477,4.22489655098696,0.25417782121548305
R01_NEG_POINT,2013-04-02,3.355827515648575,3.910936645604844,0.5551091299562692
R01_NEG_POINT,2013-04-03,2.1110218335562516,3.9390296010561596,1.828007767499908
R01_NEG_POINT,2013-04-04,2.947024449744256,4.271731209229915,1.3247067594856592
R01_NEG_POINT,2013-04-09,3.0285727174344967,4.036355742713033,1.007783025278536
R01_NEG_POINT,2013-04-10,3.8216965282751847,4.480387611006782,0.6586910827315977
R01_NEG_POINT,2013-04-14,3.4071875431884706,4.044738783827964,0.6375512406394934
R01_NEG_POINT,2013-04-15,3.3058494841013473,4.1029290848820335,0.7970796007806862
R01_NEG_POINT,2013-04-22,2.91463783744925,4.1305187988115035,1.2158809613622537
R01_NEG_POINT,2013-04-28,3.1774090245621434,3.9016119150029835,0.7242028904408402
R01_NEG_POINT,2013-04-29,3.217960258865189,3.9792281179844715,0.7612678591192825
R01_NEG_POINT,2013-04-30,2.8034719035751325,3.9061007302086197,1.1026288266334872
R01_NEG_POINT,2013-05-01,3.146636754637871,4.230436588263584,1.0837998336257129
R01_NEG_POINT,2013-05-06,3.0072618985709143,3.8128300071120687,0.8055681085411543
R01_NEG_POINT,2013-05-07,2.937874395735607,4.012431380937804,1.0745569852021974
R01_NEG_POINT,2013-05-08,3.0701908317144744,4.153243776995137,1.083052945280663
R01_NEG_POINT,2013-05-09,3.1084792565059414,4.09558898845983,0.9871097319538884
R01_NEG_POINT,2013-05-10,3.0073908215361853,3.878842338047078,0.8714515165108927
R01_NEG_POINT,2013-05-11,2.833855143456839,4.333255330807706,1.4994001873508669
R01_NEG_POINT,2013-05-12,3.4220652916315797,4.6323938021723965,1.2103285105408168
