date,ECF_minus_no_feedback_kWh,ECF_minus_equal_total_kWh
2013-01-02,0.8454056109572505,0.8435376689921448
2013-01-03,5.107984360202877,5.088209437051461
2013-01-04,-1.2663750220163195,-1.2654656572195222
2013-01-05,-6.3900629402890985,-6.372239635310528
2013-01-06,-8.906866762134591,-8.935879482976361
2013-01-07,12.305016119866785,12.307351198863614
2013-01-08,-1.9419281837005364,-1.9627488855076258
2013-01-12,-2.7306100668442745,-2.7445245910451277
2013-01-13,23.5881623927221,23.586733231851564
2013-01-14,4.368733737904584,4.366126904824519
2013-01-15,43.48486079925973,43.5061468867719
2013-01-16,-0.9055887775852867,-0.9482022828892767
2013-01-17,-0.3636995070932514,-0.3804819312502872
2013-01-18,6.0439205710647315,6.055087816108973
2013-01-19,-6.922866877327127,-6.910626710315615
2013-01-20,-11.084574760960919,-11.08469051140304
2013-01-21,4.189892519333327,4.193677242744442
2013-01-22,13.271045320201846,13.271360245179498
2013-01-23,-67.93918865368641,-67.93460828571263
2013-01-24,27.219869267028685,27.211050942290704
2013-01-25,-14.485110871823803,-14.472222614938968
2013-04-02,0.6920984828657772,0.7046830432866358
2013-04-03,60.892829364687984,60.89346616198643
2013-04-04,-0.38713331926576444,-0.3843522587967385
2013-04-09,115.38752095083105,115.37897043318557
2013-04-10,-3.6553052985723866,-3.6803443781696643
2013-04-14,-0.07728433125508971,-0.0794071340100011
2013-04-15,3.974023924480097,3.9453325402347694
2013-04-22,-122.44692085664077,-122.45341975618106
2013-04-28,2.352590820957179,2.3470301702634977
2013-04-29,-4.099979827049793,-4.097546639910465
2013-04-30,-14.749533691284178,-14.748741580849156
2013-05-01,-0.8289543962645141,-0.836416958205799
2013-05-06,-0.3008688768848522,-0.3011896077342868
2013-05-07,27.31427584077606,27.30651969502418
2013-05-08,-0.18576393378566536,-0.17002399880228225
2013-05-09,-0.28661764776671816,-0.2813642080301548
2013-05-10,1.4920075360524976,1.4947690284583537
2013-05-11,181.37137231840316,181.37053146965965
2013-05-12,-1.5270528102968584,-1.529773929417999
2013-05-16,110.85350754403534,110.85761682790096
2013-05-17,0.6143753504721516,0.6140883900584981
2013-05-18,0.34525056545087196,0.33956665872914016
2013-05-19,0.7838999987797024,0.7581893641681603
2013-05-20,0.0,0.0
2013-05-21,0.0,0.0
2013-05-22,21.57855311518242,21.567202780316652
2013-05-23,6.422378028566378,6.422813445688069
2013-05-24,-0.5977576902731485,-0.5993242079034289
2013-05-25,-20.236507736234532,-20.232855394963778
2013-05-26,-10.30911129854406,-10.308241681286301
2013-05-27,228.11928593241328,228.1172006434642
2013-05-28,15.503943750116989,15.496531707737127
2013-05-29,105.31625738638617,105.32003762027786
2013-05-30,4.382788250414826,4.350578505550651
2013-05-31,7.600453795413742,7.586323514765514
2013-06-01,2.2246463001573957,2.240134602184085
2013-06-02,12.87037635724564,12.869883701086327
2013-06-03,17.504638169091535,17.50100679457267
2013-06-04,5.250691159220278,5.262469760044741
2013-06-05,6.598458463233037,6.5781998403346975
2013-06-06,-2.1186849595968837,-2.108219477181983
2013-06-07,0.0,0.0
2013-06-08,7.711549434562315,7.7098729581535075
2013-06-09,-0.436770306894374,-0.42367231677920003
2013-06-10,22.986711445734276,23.018432668791444
2013-06-11,6.3572053241749416,6.350885058102218
2013-06-12,88.8734632599395,88.86711667520686
2013-06-13,41.93344853803982,41.919937505145555
2013-06-14,-1.5102399203326122,-1.522756156645766
2013-06-15,53.59570258213786,53.57716206707997
2013-06-16,-2.524651664463473,-2.546398717562681
2013-06-17,44.232708886303044,44.22405231706428
2013-06-18,-17.51103748292593,-17.521163807312057
2013-06-19,307.15700639067745,307.1584056409988
2013-06-23,112.22771265309284,112.2253227298904
2013-06-24,12.067344009696335,12.067524806625762
2013-06-25,-0.6404200205243349,-0.6375064623975746
2013-06-26,-57.41259588099368,-57.39736034261611
2013-06-27,0.0,0.0
