model,ECF_minus_no_feedback_MWh,ECF_minus_equal_total_MWh,qualifying_intervals,all_physical_checks_pass,vmin_pu,vmax_pu
G,0.011384484746872314,0.04350424582189949,69,1,0.974866737893418,1.0680886396902416
J,0.5429761190116049,0.6116732341379669,328,1,0.9412497560618224,1.0742520570189913
L,0.0,0.0,0,1,0.9792398296794931,1.055422612997522
M,0.00010515079904394042,0.0013373618613253813,2,1,0.9661754591844962,1.0581169816069966
N,0.0,0.0,0,1,0.9734297407879678,1.0288140655147464
O,0.0,0.0,0,1,0.9822942741448214,1.0280629180431058
P,0.05805949462105253,0.14585322002950385,85,1,0.9734355158180237,1.0652585772690062
Q,0.9605214783050118,0.9821125790392278,685,1,0.9383603456675252,1.0737929030543594
R,0.09213175085431158,0.15373620337200622,97,1,0.9594196020766784,1.067098430799987
